,codeshared,status,type,airline.iataCode,airline.icaoCode,airline.name,arrival.actualRunway,arrival.actualTime,arrival.baggage,arrival.delay,arrival.estimatedRunway,arrival.estimatedTime,arrival.gate,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.terminal,departure.actualRunway,departure.actualTime,departure.baggage,departure.delay,departure.estimatedRunway,departure.estimatedTime,departure.gate,departure.iataCode,departure.icaoCode,departure.scheduledTime,departure.terminal,flight.iataNumber,flight.icaoNumber,flight.number,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.airline.name,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,codeshared.flight.number
12,,landed,arrival,6E,IGO,IndiGo,2025-09-23T10:02:00.000,2025-09-23T10:02:00.000,03,,2025-09-23T10:02:00.000,2025-09-23T10:02:00.000,,BOM,VABB,2025-09-23T10:40:00.000,1,2025-09-23T08:44:00.000,2025-09-23T08:44:00.000,,,2025-09-23T08:44:00.000,2025-09-23T08:40:00.000,17,BLR,VOBL,2025-09-23T08:50:00.000,1,6E5216,IGO5216,5216,,,,,,
13,,landed,arrival,IB,IBE,Iberia,2025-09-23T10:49:00.000,2025-09-23T10:49:00.000,,,2025-09-23T10:49:00.000,2025-09-23T10:48:00.000,,BOM,VABB,2025-09-23T10:50:00.000,2,2025-09-22T21:25:00.000,2025-09-22T21:25:00.000,,25,2025-09-22T21:25:00.000,2025-09-22T21:00:00.000,C61,LHR,EGLL,2025-09-22T21:00:00.000,5,IB3580,IBE3580,3580,ba,baw,british airways,ba199,baw199,199
14,,landed,arrival,AA,AAL,American Airlines,2025-09-23T10:49:00.000,2025-09-23T10:49:00.000,,,2025-09-23T10:49:00.000,2025-09-23T10:48:00.000,,BOM,VABB,2025-09-23T10:50:00.000,2,2025-09-22T21:25:00.000,2025-09-22T21:25:00.000,,25,2025-09-22T21:25:00.000,2025-09-22T21:00:00.000,C61,LHR,EGLL,2025-09-22T21:00:00.000,5,AA6659,AAL6659,6659,ba,baw,british airways,ba199,baw199,199
15,,landed,arrival,BA,BAW,British Airways,2025-09-23T10:49:00.000,2025-09-23T10:49:00.000,,,2025-09-23T10:49:00.000,2025-09-23T10:48:00.000,,BOM,VABB,2025-09-23T10:50:00.000,2,2025-09-22T21:25:00.000,2025-09-22T21:25:00.000,,25,2025-09-22T21:25:00.000,2025-09-22T21:00:00.000,C61,LHR,EGLL,2025-09-22T21:00:00.000,5,BA199,BAW199,199,,,,,,
16,,landed,arrival,SQ,SIA,Singapore Airlines,2025-09-23T10:24:00.000,2025-09-23T10:24:00.000,2,,2025-09-23T10:24:00.000,2025-09-23T10:24:00.000,,BOM,VABB,2025-09-23T10:50:00.000,2,2025-09-23T08:44:00.000,2025-09-23T08:44:00.000,,15,2025-09-23T08:44:00.000,2025-09-23T08:24:00.000,41,DEL,VIDP,2025-09-23T08:30:00.000,3,SQ4848,SIA4848,4848,ai,aic,air india,ai2678,aic2678,2678
17,,landed,arrival,AI,AIC,Air India,2025-09-23T10:24:00.000,2025-09-23T10:24:00.000,2,,2025-09-23T10:24:00.000,2025-09-23T10:24:00.000,,BOM,VABB,2025-09-23T10:50:00.000,2,2025-09-23T08:44:00.000,2025-09-23T08:44:00.000,,15,2025-09-23T08:44:00.000,2025-09-23T08:24:00.000,41,DEL,VIDP,2025-09-23T08:30:00.000,3,AI2678,AIC2678,2678,,,,,,
18,,landed,arrival,AI,AIC,Air India,2025-09-23T09:52:00.000,2025-09-23T09:52:00.000,11,,2025-09-23T09:52:00.000,2025-09-23T09:51:00.000,,BOM,VABB,2025-09-23T10:55:00.000,2,2025-09-23T08:59:00.000,2025-09-23T08:59:00.000,,,2025-09-23T08:59:00.000,2025-09-23T09:00:00.000,T1G5,AMD,VAAH,2025-09-23T09:00:00.000,T1,AI638,AIC638,638,,,,,,
19,,landed,arrival,VS,VIR,Virgin Atlantic,2025-09-23T10:50:00.000,2025-09-23T10:50:00.000,03,,2025-09-23T10:50:00.000,2025-09-23T10:47:00.000,,BOM,VABB,2025-09-23T11:00:00.000,1,2025-09-23T09:36:00.000,2025-09-23T09:36:00.000,,6,2025-09-23T09:36:00.000,2025-09-23T09:36:00.000,113,HYD,VOHS,2025-09-23T09:30:00.000,,VS9120,VIR9120,9120,6e,igo,indigo,6e5163,igo5163,5163
20,,landed,arrival,6E,IGO,IndiGo,2025-09-23T10:50:00.000,2025-09-23T10:50:00.000,03,,2025-09-23T10:50:00.000,2025-09-23T10:47:00.000,,BOM,VABB,2025-09-23T11:00:00.000,1,2025-09-23T09:36:00.000,2025-09-23T09:36:00.000,,6,2025-09-23T09:36:00.000,2025-09-23T09:36:00.000,113,HYD,VOHS,2025-09-23T09:30:00.000,,6E5163,IGO5163,5163,,,,,,
21,,landed,arrival,LH,DLH,Lufthansa,2025-09-23T10:38:00.000,2025-09-23T10:38:00.000,11,,2025-09-23T10:38:00.000,2025-09-23T10:34:00.000,,BOM,VABB,2025-09-23T11:05:00.000,2,2025-09-23T08:43:00.000,2025-09-23T08:43:00.000,,4,2025-09-23T08:43:00.000,2025-09-23T08:40:00.000,G4,TRV,VOTV,2025-09-23T08:40:00.000,T1,LH5299,DLH5299,5299,ai,aic,air india,ai2650,aic2650,2650
22,,landed,arrival,AI,AIC,Air India,2025-09-23T10:38:00.000,2025-09-23T10:38:00.000,11,,2025-09-23T10:38:00.000,2025-09-23T10:34:00.000,,BOM,VABB,2025-09-23T11:05:00.000,2,2025-09-23T08:43:00.000,2025-09-23T08:43:00.000,,4,2025-09-23T08:43:00.000,2025-09-23T08:40:00.000,G4,TRV,VOTV,2025-09-23T08:40:00.000,T1,AI2650,AIC2650,2650,,,,,,
23,,landed,arrival,AI,AIC,Air India,2025-09-23T10:44:00.000,2025-09-23T10:44:00.000,2,,2025-09-23T10:44:00.000,2025-09-23T10:44:00.000,,BOM,VABB,2025-09-23T11:10:00.000,2,2025-09-23T09:18:00.000,2025-09-23T09:18:00.000,,9,2025-09-23T09:18:00.000,2025-09-23T09:05:00.000,D11,BLR,VOBL,2025-09-23T09:10:00.000,T2,AI2604,AIC2604,2604,,,,,,
24,,landed,arrival,AI,AIC,Air India,2025-09-23T11:35:00.000,2025-09-23T11:35:00.000,12,20,2025-09-23T11:35:00.000,2025-09-23T11:36:00.000,,BOM,VABB,2025-09-23T11:15:00.000,2,2025-09-23T09:39:00.000,2025-09-23T09:39:00.000,,55,2025-09-23T09:39:00.000,2025-09-23T09:26:00.000,,IXR,VERC,2025-09-23T08:45:00.000,,AI9689,AIC9689,9689,ix,axb,air india express,ix1238,axb1238,1238
