status,type,airline.iataCode,airline.name,arrival.actualTime,arrival.delay,arrival.estimatedTime,arrival.iataCode,arrival.scheduledTime,departure.actualTime,departure.delay,departure.estimatedTime,departure.iataCode,departure.scheduledTime,flight.iataNumber
active,departure,6E,IndiGo,,,2025-09-23T12:32:00.000,GOI,2025-09-23T12:35:00.000,2025-09-23T11:42:00.000,33.0,2025-09-23T11:33:00.000,BOM,2025-09-23T11:10:00.000,6E5307
active,departure,6E,IndiGo,,1.0,2025-09-23T13:21:00.000,AGR,2025-09-23T13:20:00.000,2025-09-23T11:46:00.000,36.0,2025-09-23T11:20:00.000,BOM,2025-09-23T11:10:00.000,6E5316
active,departure,AI,Air India,,14.0,2025-09-23T12:53:00.000,UDR,2025-09-23T12:40:00.000,2025-09-23T11:49:00.000,34.0,2025-09-23T11:20:00.000,BOM,2025-09-23T11:15:00.000,AI2593
active,departure,JL,Jet Linx Aviation,,2.0,2025-09-23T13:32:00.000,DEL,2025-09-23T13:30:00.000,2025-09-23T11:50:00.000,35.0,2025-09-23T11:30:00.000,BOM,2025-09-23T11:15:00.000,JL9260
active,departure,QF,Qantas,,2.0,2025-09-23T13:32:00.000,DEL,2025-09-23T13:30:00.000,2025-09-23T11:50:00.000,35.0,2025-09-23T11:30:00.000,BOM,2025-09-23T11:15:00.000,QF5282
active,departure,VS,Virgin Atlantic,,2.0,2025-09-23T13:32:00.000,DEL,2025-09-23T13:30:00.000,2025-09-23T11:50:00.000,35.0,2025-09-23T11:30:00.000,BOM,2025-09-23T11:15:00.000,VS8531
active,departure,6E,IndiGo,,2.0,2025-09-23T13:32:00.000,DEL,2025-09-23T13:30:00.000,2025-09-23T11:50:00.000,35.0,2025-09-23T11:30:00.000,BOM,2025-09-23T11:15:00.000,6E6827
active,departure,AI,Air India,,10.0,2025-09-23T13:15:00.000,BLR,2025-09-23T13:05:00.000,2025-09-23T11:56:00.000,37.0,2025-09-23T11:28:00.000,BOM,2025-09-23T11:20:00.000,AI2632
active,departure,ET,Ethiopian Airlines,,1.0,2025-09-23T12:40:00.000,GOI,2025-09-23T12:40:00.000,2025-09-23T11:51:00.000,31.0,2025-09-23T11:28:00.000,BOM,2025-09-23T11:20:00.000,ET1755
active,departure,AI,Air India,,1.0,2025-09-23T12:40:00.000,GOI,2025-09-23T12:40:00.000,2025-09-23T11:51:00.000,31.0,2025-09-23T11:28:00.000,BOM,2025-09-23T11:20:00.000,AI2841
active,departure,SG,SpiceJet,,,2025-09-23T12:53:00.000,PBD,2025-09-23T13:00:00.000,2025-09-23T11:58:00.000,29.0,2025-09-23T11:39:00.000,BOM,2025-09-23T11:30:00.000,SG2905
active,departure,BA,British Airways,,,2025-09-23T13:15:00.000,BLR,2025-09-23T13:20:00.000,2025-09-23T11:53:00.000,23.0,2025-09-23T11:25:00.000,BOM,2025-09-23T11:30:00.000,BA8019
active,departure,JL,Jet Linx Aviation,,,2025-09-23T13:15:00.000,BLR,2025-09-23T13:20:00.000,2025-09-23T11:53:00.000,23.0,2025-09-23T11:25:00.000,BOM,2025-09-23T11:30:00.000,JL9758
active,departure,KL,KLM,,,2025-09-23T13:15:00.000,BLR,2025-09-23T13:20:00.000,2025-09-23T11:53:00.000,23.0,2025-09-23T11:25:00.000,BOM,2025-09-23T11:30:00.000,KL4761
