status,type,airline.iataCode,airline.name,arrival.actualTime,arrival.delay,arrival.estimatedTime,arrival.iataCode,arrival.scheduledTime,departure.actualTime,departure.delay,departure.estimatedTime,departure.iataCode,departure.scheduledTime,flight.iataNumber,orig_country,dest_country,departure_hour,arrival_hour,departure_delay_flag,arrival_delay_flag,total_delay,flight_type,flight_duration
active,departure,KL,KLM,,10.0,2025-09-23 14:14:00,KTM,2025-09-23 14:05:00,2025-09-23 11:38:00,33.0,2025-09-23 11:28:00,BOM,2025-09-23 11:05:00,KL4768,India,Nepal,11,14,True,True,43.0,International,
active,departure,6E,IndiGo,,10.0,2025-09-23 14:14:00,KTM,2025-09-23 14:05:00,2025-09-23 11:38:00,33.0,2025-09-23 11:28:00,BOM,2025-09-23 11:05:00,6E1157,India,Nepal,11,14,True,True,43.0,International,
active,departure,EY,Etihad Airways,,,2025-09-23 12:46:00,AUH,2025-09-23 13:00:00,2025-09-23 11:43:00,34.0,2025-09-23 11:42:00,BOM,2025-09-23 11:10:00,EY201,India,United Arab Emirates,11,13,True,False,34.0,International,
active,departure,AF,Air France,,,2025-09-23 12:32:00,GOI,2025-09-23 12:35:00,2025-09-23 11:42:00,33.0,2025-09-23 11:33:00,BOM,2025-09-23 11:10:00,AF6475,India,India,11,12,True,False,33.0,Domestic,
active,departure,BA,British Airways,,,2025-09-23 12:32:00,GOI,2025-09-23 12:35:00,2025-09-23 11:42:00,33.0,2025-09-23 11:33:00,BOM,2025-09-23 11:10:00,BA7926,India,India,11,12,True,False,33.0,Domestic,
active,departure,MH,Malaysia Airlines,,,2025-09-23 12:32:00,GOI,2025-09-23 12:35:00,2025-09-23 11:42:00,33.0,2025-09-23 11:33:00,BOM,2025-09-23 11:10:00,MH5273,India,India,11,12,True,False,33.0,Domestic,
active,departure,VS,Virgin Atlantic,,,2025-09-23 12:32:00,GOI,2025-09-23 12:35:00,2025-09-23 11:42:00,33.0,2025-09-23 11:33:00,BOM,2025-09-23 11:10:00,VS8547,India,India,11,12,True,False,33.0,Domestic,
active,departure,6E,IndiGo,,,2025-09-23 12:32:00,GOI,2025-09-23 12:35:00,2025-09-23 11:42:00,33.0,2025-09-23 11:33:00,BOM,2025-09-23 11:10:00,6E5307,India,India,11,12,True,False,33.0,Domestic,
active,departure,6E,IndiGo,,1.0,2025-09-23 13:21:00,AGR,2025-09-23 13:20:00,2025-09-23 11:46:00,36.0,2025-09-23 11:20:00,BOM,2025-09-23 11:10:00,6E5316,India,India,11,13,True,True,37.0,Domestic,
active,departure,AI,Air India,,14.0,2025-09-23 12:53:00,UDR,2025-09-23 12:40:00,2025-09-23 11:49:00,34.0,2025-09-23 11:20:00,BOM,2025-09-23 11:15:00,AI2593,India,India,11,12,True,True,48.0,Domestic,
active,departure,JL,Jet Linx Aviation,,2.0,2025-09-23 13:32:00,DEL,2025-09-23 13:30:00,2025-09-23 11:50:00,35.0,2025-09-23 11:30:00,BOM,2025-09-23 11:15:00,JL9260,India,India,11,13,True,True,37.0,Domestic,
active,departure,QF,Qantas,,2.0,2025-09-23 13:32:00,DEL,2025-09-23 13:30:00,2025-09-23 11:50:00,35.0,2025-09-23 11:30:00,BOM,2025-09-23 11:15:00,QF5282,India,India,11,13,True,True,37.0,Domestic,
active,departure,VS,Virgin Atlantic,,2.0,2025-09-23 13:32:00,DEL,2025-09-23 13:30:00,2025-09-23 11:50:00,35.0,2025-09-23 11:30:00,BOM,2025-09-23 11:15:00,VS8531,India,India,11,13,True,True,37.0,Domestic,
active,departure,6E,IndiGo,,2.0,2025-09-23 13:32:00,DEL,2025-09-23 13:30:00,2025-09-23 11:50:00,35.0,2025-09-23 11:30:00,BOM,2025-09-23 11:15:00,6E6827,India,India,11,13,True,True,37.0,Domestic,
active,departure,AI,Air India,,10.0,2025-09-23 13:15:00,BLR,2025-09-23 13:05:00,2025-09-23 11:56:00,37.0,2025-09-23 11:28:00,BOM,2025-09-23 11:20:00,AI2632,India,India,11,13,True,True,47.0,Domestic,
active,departure,ET,Ethiopian Airlines,,1.0,2025-09-23 12:40:00,GOI,2025-09-23 12:40:00,2025-09-23 11:51:00,31.0,2025-09-23 11:28:00,BOM,2025-09-23 11:20:00,ET1755,India,India,11,12,True,True,32.0,Domestic,
active,departure,AI,Air India,,1.0,2025-09-23 12:40:00,GOI,2025-09-23 12:40:00,2025-09-23 11:51:00,31.0,2025-09-23 11:28:00,BOM,2025-09-23 11:20:00,AI2841,India,India,11,12,True,True,32.0,Domestic,
active,departure,SG,SpiceJet,,,2025-09-23 12:53:00,PBD,2025-09-23 13:00:00,2025-09-23 11:58:00,29.0,2025-09-23 11:39:00,BOM,2025-09-23 11:30:00,SG2905,India,India,11,13,True,False,29.0,Domestic,
active,departure,BA,British Airways,,,2025-09-23 13:15:00,BLR,2025-09-23 13:20:00,2025-09-23 11:53:00,23.0,2025-09-23 11:25:00,BOM,2025-09-23 11:30:00,BA8019,India,India,11,13,True,False,23.0,Domestic,
active,departure,JL,Jet Linx Aviation,,,2025-09-23 13:15:00,BLR,2025-09-23 13:20:00,2025-09-23 11:53:00,23.0,2025-09-23 11:25:00,BOM,2025-09-23 11:30:00,JL9758,India,India,11,13,True,False,23.0,Domestic,
active,departure,KL,KLM,,,2025-09-23 13:15:00,BLR,2025-09-23 13:20:00,2025-09-23 11:53:00,23.0,2025-09-23 11:25:00,BOM,2025-09-23 11:30:00,KL4761,India,India,11,13,True,False,23.0,Domestic,
active,departure,QF,Qantas,,,2025-09-23 13:15:00,BLR,2025-09-23 13:20:00,2025-09-23 11:53:00,23.0,2025-09-23 11:25:00,BOM,2025-09-23 11:30:00,QF5058,India,India,11,13,True,False,23.0,Domestic,
active,departure,VS,Virgin Atlantic,,,2025-09-23 13:15:00,BLR,2025-09-23 13:20:00,2025-09-23 11:53:00,23.0,2025-09-23 11:25:00,BOM,2025-09-23 11:30:00,VS8496,India,India,11,13,True,False,23.0,Domestic,
active,departure,6E,IndiGo,,,2025-09-23 13:15:00,BLR,2025-09-23 13:20:00,2025-09-23 11:53:00,23.0,2025-09-23 11:25:00,BOM,2025-09-23 11:30:00,6E5217,India,India,11,13,True,False,23.0,Domestic,
unknown,departure,MA,MAE Aircraft Management,,,,BAH,2025-09-23 13:00:00,,,,BOM,2025-09-23 11:30:00,MA6304,India,Bahrain,11,13,False,False,0.0,International,
active,departure,AI,Air India,,2.0,2025-09-23 14:31:00,CCU,2025-09-23 14:30:00,2025-09-23 12:07:00,27.0,2025-09-23 11:48:00,BOM,2025-09-23 11:40:00,AI2471,India,India,11,14,True,True,29.0,Domestic,
active,departure,NH,ANA,,,2025-09-23 19:44:00,SIN,2025-09-23 19:50:00,2025-09-23 12:13:00,28.0,2025-09-23 11:49:00,BOM,2025-09-23 11:45:00,NH6285,India,Singapore,11,19,True,False,28.0,International,
active,departure,NZ,Air New Zealand,,,2025-09-23 19:44:00,SIN,2025-09-23 19:50:00,2025-09-23 12:13:00,28.0,2025-09-23 11:49:00,BOM,2025-09-23 11:45:00,NZ3201,India,Singapore,11,19,True,False,28.0,International,
active,departure,SQ,Singapore Airlines,,,2025-09-23 19:44:00,SIN,2025-09-23 19:50:00,2025-09-23 12:13:00,28.0,2025-09-23 11:49:00,BOM,2025-09-23 11:45:00,SQ421,India,Singapore,11,19,True,False,28.0,International,
active,departure,AI,Air India,,,2025-09-23 13:44:00,DEL,2025-09-23 14:05:00,2025-09-23 12:03:00,13.0,2025-09-23 11:44:00,BOM,2025-09-23 11:50:00,AI2419,India,India,11,14,True,False,13.0,Domestic,
active,departure,VS,Virgin Atlantic,,,2025-09-23 13:34:00,MAA,2025-09-23 13:50:00,2025-09-23 12:01:00,11.0,2025-09-23 11:42:00,BOM,2025-09-23 11:50:00,VS8594,India,India,11,13,True,False,11.0,Domestic,
active,departure,6E,IndiGo,,,2025-09-23 13:34:00,MAA,2025-09-23 13:50:00,2025-09-23 12:01:00,11.0,2025-09-23 11:42:00,BOM,2025-09-23 11:50:00,6E5206,India,India,11,13,True,False,11.0,Domestic,
active,departure,TK,Turkish Airlines,,,2025-09-23 13:19:00,HYD,2025-09-23 13:35:00,2025-09-23 12:11:00,17.0,2025-09-23 12:09:00,BOM,2025-09-23 11:55:00,TK4745,India,India,11,13,True,False,17.0,Domestic,
active,departure,VS,Virgin Atlantic,,,2025-09-23 13:19:00,HYD,2025-09-23 13:35:00,2025-09-23 12:11:00,17.0,2025-09-23 12:09:00,BOM,2025-09-23 11:55:00,VS8556,India,India,11,13,True,False,17.0,Domestic,
active,departure,6E,IndiGo,,,2025-09-23 13:19:00,HYD,2025-09-23 13:35:00,2025-09-23 12:11:00,17.0,2025-09-23 12:09:00,BOM,2025-09-23 11:55:00,6E5097,India,India,11,13,True,False,17.0,Domestic,
active,departure,AI,Air India,,4.0,2025-09-23 13:49:00,CJB,2025-09-23 13:45:00,2025-09-23 12:18:00,18.0,2025-09-23 12:03:00,BOM,2025-09-23 12:00:00,AI683,India,India,12,13,True,True,22.0,Domestic,
active,departure,AI,Air India,,,,GOI,2025-09-23 13:15:00,2025-09-23 12:53:00,53.0,2025-09-23 12:19:00,BOM,2025-09-23 12:00:00,AI9531,India,India,12,13,True,False,53.0,Domestic,
active,departure,IX,Air India Express,,,,GOI,2025-09-23 13:15:00,2025-09-23 12:53:00,53.0,2025-09-23 12:19:00,BOM,2025-09-23 12:00:00,IX1070,India,India,12,13,True,False,53.0,Domestic,
active,departure,VS,Virgin Atlantic,,,2025-09-23 13:36:00,GWL,2025-09-23 14:00:00,2025-09-23 12:05:00,6.0,2025-09-23 12:02:00,BOM,2025-09-23 12:00:00,VS8552,India,India,12,14,True,False,6.0,Domestic,
active,departure,6E,IndiGo,,,2025-09-23 13:36:00,GWL,2025-09-23 14:00:00,2025-09-23 12:05:00,6.0,2025-09-23 12:02:00,BOM,2025-09-23 12:00:00,6E5276,India,India,12,14,True,False,6.0,Domestic,
active,departure,AI,Air India,,,,BBI,2025-09-23 14:30:00,,28.0,2025-09-23 12:33:00,BOM,2025-09-23 12:05:00,AI9416,India,India,12,14,True,False,28.0,Domestic,
active,departure,IX,Air India Express,,,,BBI,2025-09-23 14:30:00,,28.0,2025-09-23 12:33:00,BOM,2025-09-23 12:05:00,IX1238,India,India,12,14,True,False,28.0,Domestic,
active,departure,VS,Virgin Atlantic,,,2025-09-23 13:43:00,JDH,2025-09-23 13:50:00,2025-09-23 11:27:00,,2025-09-23 12:04:00,BOM,2025-09-23 12:05:00,VS8581,India,India,12,13,False,False,0.0,Domestic,
active,departure,6E,IndiGo,,,2025-09-23 13:43:00,JDH,2025-09-23 13:50:00,2025-09-23 11:27:00,,2025-09-23 12:04:00,BOM,2025-09-23 12:05:00,6E5274,India,India,12,13,False,False,0.0,Domestic,
active,departure,VS,Virgin Atlantic,,,2025-09-23 13:55:00,IXD,2025-09-23 14:15:00,2025-09-23 12:15:00,10.0,2025-09-23 12:13:00,BOM,2025-09-23 12:05:00,VS8572,India,India,12,14,True,False,10.0,Domestic,
active,departure,6E,IndiGo,,,2025-09-23 13:55:00,IXD,2025-09-23 14:15:00,2025-09-23 12:15:00,10.0,2025-09-23 12:13:00,BOM,2025-09-23 12:05:00,6E6937,India,India,12,14,True,False,10.0,Domestic,
active,departure,AI,Air India,,,2025-09-23 14:14:00,DED,2025-09-23 14:20:00,2025-09-23 12:17:00,7.0,2025-09-23 12:06:00,BOM,2025-09-23 12:10:00,AI677,India,India,12,14,True,False,7.0,Domestic,
active,departure,AI,Air India,,1.0,2025-09-23 14:36:00,VNS,2025-09-23 14:35:00,2025-09-23 12:44:00,30.0,2025-09-23 12:19:00,BOM,2025-09-23 12:15:00,AI9518,India,India,12,14,True,True,31.0,Domestic,
active,departure,IX,Air India Express,,1.0,2025-09-23 14:36:00,VNS,2025-09-23 14:35:00,2025-09-23 12:44:00,30.0,2025-09-23 12:19:00,BOM,2025-09-23 12:15:00,IX1023,India,India,12,14,True,True,31.0,Domestic,
active,departure,AI,Air India,,10.0,2025-09-23 15:14:00,CCU,2025-09-23 15:05:00,2025-09-23 12:47:00,28.0,2025-09-23 12:19:00,BOM,2025-09-23 12:20:00,AI2901,India,India,12,15,True,True,38.0,Domestic,
active,departure,AI,Air India,,4.0,2025-09-23 15:03:00,CMB,2025-09-23 15:00:00,2025-09-23 12:55:00,30.0,2025-09-23 12:29:00,BOM,2025-09-23 12:25:00,AI276,India,Sri Lanka,12,15,True,True,34.0,International,
active,departure,AI,Air India,,,2025-09-23 14:25:00,DEL,2025-09-23 14:55:00,2025-09-23 12:41:00,12.0,2025-09-23 12:09:00,BOM,2025-09-23 12:30:00,AI2952,India,India,12,14,True,False,12.0,Domestic,
active,departure,BA,British Airways,,,2025-09-23 14:29:00,DEL,2025-09-23 14:40:00,2025-09-23 12:50:00,20.0,2025-09-23 12:30:00,BOM,2025-09-23 12:30:00,BA8777,India,India,12,14,True,False,20.0,Domestic,
