status,type,airline.iataCode,airline.name,arrival.actualTime,arrival.delay,arrival.estimatedTime,arrival.iataCode,arrival.scheduledTime,departure.actualTime,departure.delay,departure.estimatedTime,departure.iataCode,departure.scheduledTime,flight.iataNumber,orig_country,dest_country,departure_hour,arrival_hour,departure_delay_flag,arrival_delay_flag,total_delay,flight_type,flight_duration,arrival.delay_missing,departure.delay_missing,arrival.actualTime_missing,departure.actualTime_missing,arrival.estimatedTime_missing,departure.estimatedTime_missing,flight_duration_missing,total_delay_missing
active,departure,AI,Air India,,,23-09-2025 13:23,LKO,23-09-2025 13:25,23-09-2025 11:36,32,23-09-2025 11:15,BOM,23-09-2025 11:05,AI2491,India,India,11,13,TRUE,FALSE,32,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,AI,Air India,,,23-09-2025 13:29,ADD,23-09-2025 14:00,23-09-2025 11:39,35,23-09-2025 11:14,BOM,23-09-2025 11:05,AI7566,India,Ethiopia,11,14,TRUE,FALSE,35,International,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,ET,Ethiopian Airlines,,,23-09-2025 13:29,ADD,23-09-2025 14:00,23-09-2025 11:39,35,23-09-2025 11:14,BOM,23-09-2025 11:05,ET641,India,Ethiopia,11,14,TRUE,FALSE,35,International,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,KL,KLM,,10,23-09-2025 14:14,KTM,23-09-2025 14:05,23-09-2025 11:38,33,23-09-2025 11:28,BOM,23-09-2025 11:05,KL4768,India,Nepal,11,14,TRUE,TRUE,43,International,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,6E,IndiGo,,10,23-09-2025 14:14,KTM,23-09-2025 14:05,23-09-2025 11:38,33,23-09-2025 11:28,BOM,23-09-2025 11:05,6E1157,India,Nepal,11,14,TRUE,TRUE,43,International,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,EY,Etihad Airways,,,23-09-2025 12:46,AUH,23-09-2025 13:00,23-09-2025 11:43,34,23-09-2025 11:42,BOM,23-09-2025 11:10,EY201,India,United Arab Emirates,11,13,TRUE,FALSE,34,International,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,AF,Air France,,,23-09-2025 12:32,GOI,23-09-2025 12:35,23-09-2025 11:42,33,23-09-2025 11:33,BOM,23-09-2025 11:10,AF6475,India,India,11,12,TRUE,FALSE,33,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,BA,British Airways,,,23-09-2025 12:32,GOI,23-09-2025 12:35,23-09-2025 11:42,33,23-09-2025 11:33,BOM,23-09-2025 11:10,BA7926,India,India,11,12,TRUE,FALSE,33,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,MH,Malaysia Airlines,,,23-09-2025 12:32,GOI,23-09-2025 12:35,23-09-2025 11:42,33,23-09-2025 11:33,BOM,23-09-2025 11:10,MH5273,India,India,11,12,TRUE,FALSE,33,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
active,departure,VS,Virgin Atlantic,,,23-09-2025 12:32,GOI,23-09-2025 12:35,23-09-2025 11:42,33,23-09-2025 11:33,BOM,23-09-2025 11:10,VS8547,India,India,11,12,TRUE,FALSE,33,Domestic,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
