status,type,airline.iataCode,airline.name,arrival.actualTime,arrival.delay,arrival.estimatedTime,arrival.iataCode,arrival.scheduledTime,departure.actualTime,departure.delay,departure.estimatedTime,departure.iataCode,departure.scheduledTime,flight.iataNumber
landed,arrival,AI,Air India,2025-09-23T11:35:00.000,20.0,2025-09-23T11:36:00.000,BOM,2025-09-23T11:15:00.000,2025-09-23T09:39:00.000,55.0,2025-09-23T09:26:00.000,IXR,2025-09-23T08:45:00.000,AI9689
landed,arrival,IX,Air India Express,2025-09-23T11:35:00.000,20.0,2025-09-23T11:36:00.000,BOM,2025-09-23T11:15:00.000,2025-09-23T09:39:00.000,55.0,2025-09-23T09:26:00.000,IXR,2025-09-23T08:45:00.000,IX1238
landed,arrival,BA,British Airways,2025-09-23T10:57:00.000,,2025-09-23T10:58:00.000,BOM,2025-09-23T11:15:00.000,2025-09-23T09:21:00.000,12.0,2025-09-23T09:10:00.000,MAA,2025-09-23T09:10:00.000,BA8794
landed,arrival,VS,Virgin Atlantic,2025-09-23T10:57:00.000,,2025-09-23T10:58:00.000,BOM,2025-09-23T11:15:00.000,2025-09-23T09:21:00.000,12.0,2025-09-23T09:10:00.000,MAA,2025-09-23T09:10:00.000,VS9465
landed,arrival,6E,IndiGo,2025-09-23T10:57:00.000,,2025-09-23T10:58:00.000,BOM,2025-09-23T11:15:00.000,2025-09-23T09:21:00.000,12.0,2025-09-23T09:10:00.000,MAA,2025-09-23T09:10:00.000,6E5304
landed,arrival,AI,Air India,2025-09-23T10:42:00.000,,2025-09-23T10:42:00.000,BOM,2025-09-23T11:20:00.000,2025-09-23T09:29:00.000,,2025-09-23T09:30:00.000,HYD,2025-09-23T09:30:00.000,AI2874
landed,arrival,AI,Air India,2025-09-23T10:36:00.000,,2025-09-23T10:32:00.000,BOM,2025-09-23T11:20:00.000,2025-09-23T08:29:00.000,,2025-09-23T08:17:00.000,ATQ,2025-09-23T08:35:00.000,AI2729
landed,arrival,VS,Virgin Atlantic,2025-09-23T10:31:00.000,,2025-09-23T10:31:00.000,BOM,2025-09-23T11:20:00.000,2025-09-23T09:26:00.000,,2025-09-23T09:35:00.000,BHO,2025-09-23T09:35:00.000,VS8316
landed,arrival,6E,IndiGo,2025-09-23T10:31:00.000,,2025-09-23T10:31:00.000,BOM,2025-09-23T11:20:00.000,2025-09-23T09:26:00.000,,2025-09-23T09:35:00.000,BHO,2025-09-23T09:35:00.000,6E5187
landed,arrival,TP,TAP Air Portugal,2025-09-23T11:21:00.000,,2025-09-23T11:22:00.000,BOM,2025-09-23T11:25:00.000,2025-09-22T21:58:00.000,53.0,2025-09-22T21:05:00.000,LHR,2025-09-22T21:05:00.000,TP7040
