status,type,airline.iataCode,airline.name,arrival.actualTime,arrival.delay,arrival.estimatedTime,arrival.iataCode,arrival.scheduledTime,departure.actualTime,departure.delay,departure.estimatedTime,departure.iataCode,departure.scheduledTime,flight.iataNumber
active,departure,JL,Jet Linx Aviation,,2.0,2025-09-23 13:32:00,DEL,2025-09-23 13:30:00,2025-09-23 11:50:00,35.0,2025-09-23 11:30:00,BOM,2025-09-23 11:15:00,JL9260
active,departure,QF,Qantas,,2.0,2025-09-23 13:32:00,DEL,2025-09-23 13:30:00,2025-09-23 11:50:00,35.0,2025-09-23 11:30:00,BOM,2025-09-23 11:15:00,QF5282
active,departure,VS,Virgin Atlantic,,2.0,2025-09-23 13:32:00,DEL,2025-09-23 13:30:00,2025-09-23 11:50:00,35.0,2025-09-23 11:30:00,BOM,2025-09-23 11:15:00,VS8531
active,departure,6E,IndiGo,,2.0,2025-09-23 13:32:00,DEL,2025-09-23 13:30:00,2025-09-23 11:50:00,35.0,2025-09-23 11:30:00,BOM,2025-09-23 11:15:00,6E6827
active,departure,AI,Air India,,10.0,2025-09-23 13:15:00,BLR,2025-09-23 13:05:00,2025-09-23 11:56:00,37.0,2025-09-23 11:28:00,BOM,2025-09-23 11:20:00,AI2632
active,departure,ET,Ethiopian Airlines,,1.0,2025-09-23 12:40:00,GOI,2025-09-23 12:40:00,2025-09-23 11:51:00,31.0,2025-09-23 11:28:00,BOM,2025-09-23 11:20:00,ET1755
active,departure,AI,Air India,,1.0,2025-09-23 12:40:00,GOI,2025-09-23 12:40:00,2025-09-23 11:51:00,31.0,2025-09-23 11:28:00,BOM,2025-09-23 11:20:00,AI2841
active,departure,SG,SpiceJet,,,2025-09-23 12:53:00,PBD,2025-09-23 13:00:00,2025-09-23 11:58:00,29.0,2025-09-23 11:39:00,BOM,2025-09-23 11:30:00,SG2905
active,departure,BA,British Airways,,,2025-09-23 13:15:00,BLR,2025-09-23 13:20:00,2025-09-23 11:53:00,23.0,2025-09-23 11:25:00,BOM,2025-09-23 11:30:00,BA8019
active,departure,JL,Jet Linx Aviation,,,2025-09-23 13:15:00,BLR,2025-09-23 13:20:00,2025-09-23 11:53:00,23.0,2025-09-23 11:25:00,BOM,2025-09-23 11:30:00,JL9758
active,departure,KL,KLM,,,2025-09-23 13:15:00,BLR,2025-09-23 13:20:00,2025-09-23 11:53:00,23.0,2025-09-23 11:25:00,BOM,2025-09-23 11:30:00,KL4761
active,departure,QF,Qantas,,,2025-09-23 13:15:00,BLR,2025-09-23 13:20:00,2025-09-23 11:53:00,23.0,2025-09-23 11:25:00,BOM,2025-09-23 11:30:00,QF5058
active,departure,VS,Virgin Atlantic,,,2025-09-23 13:15:00,BLR,2025-09-23 13:20:00,2025-09-23 11:53:00,23.0,2025-09-23 11:25:00,BOM,2025-09-23 11:30:00,VS8496
active,departure,6E,IndiGo,,,2025-09-23 13:15:00,BLR,2025-09-23 13:20:00,2025-09-23 11:53:00,23.0,2025-09-23 11:25:00,BOM,2025-09-23 11:30:00,6E5217
